trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
31,False,"{'a': 0.95, 'e': 0.21463876394293727}",20,1,34.29550127481617,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.95, 'e': 0.2039068257457904}",25,17,11.94493025376022,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.95, 'e': 0.19371148445850087}",30,6,-58.85562917498577,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 2}",1
34,False,"{'a': 0.95, 'e': 0.18402591023557582}",20,9,23.94289019843807,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.95, 'e': 0.174824614723797}",25,15,14.723207586436201,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.95, 'e': 0.16608338398760716}",20,0,-21.28067402781908,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
37,False,"{'a': 0.95, 'e': 0.1577792147882268}",20,15,-34.378266551389004,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.95, 'e': 0.14989025404881545}",25,14,21.652821535491615,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.95, 'e': 0.14239574134637467}",25,17,-6.412268675022543,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
40,False,"{'a': 0.95, 'e': 0.13527595427905592}",25,5,9.222424176649628,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.95, 'e': 0.12851215656510312}",20,8,15.055848681312483,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.95, 'e': 0.12208654873684796}",25,0,35.85790166016878,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.95, 'e': 0.11598222130000556}",25,14,10.301530889258647,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.95, 'e': 0.11018311023500528}",35,24,7.285332888109249,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.95, 'e': 0.10467395472325501}",20,13,0.15337991034217957,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.09944025698709225}",25,12,21.813577984954662,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.95, 'e': 0.09446824413773763}",20,2,15.363430894210211,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.95, 'e': 0.08974483193085075}",20,14,10.031885239221888,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.95, 'e': 0.0852575903343082}",20,11,11.549094549881355,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.0809947108175928}",25,14,6.72861841890553,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.95, 'e': 0.07694497527671315}",35,17,15.451059502455543,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.95, 'e': 0.07309772651287749}",20,8,3.0930245208464444,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
53,False,"{'a': 0.95, 'e': 0.06944284018723361}",20,0,-3.701197377505917,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
54,False,"{'a': 0.95, 'e': 0.06597069817787193}",35,26,14.389371784360442,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.06267216326897833}",25,11,29.079582683480083,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.95, 'e': 0.05953855510552941}",20,10,15.747328366690894,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.056561627350252934}",20,9,19.273727137278414,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
